Hours Studied,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Target
7,1,9,1,0.91
4,0,4,2,0.7847560975609756
8,1,7,2,0.8735294117647059
5,1,5,2,0.6853846153846153
7,0,8,5,0.8712000000000001
3,0,9,6,0.7742307692307693
7,1,5,6,0.8543835616438357
8,1,4,6,0.924
5,0,8,2,0.7842857142857143
4,0,4,0,0.7675280898876404
8,0,4,5,0.9138461538461538
8,0,6,2,0.9148101265822784
3,0,9,2,0.5687234042553192
6,0,4,2,0.6951063829787234
5,0,7,8,0.8521518987341773
2,0,4,3,0.5912499999999999
8,1,8,4,0.9086301369863015
6,1,7,2,0.8349397590361446
2,1,4,9,0.55
5,0,7,0,0.8316
1,1,4,3,0.71
6,0,9,0,0.8765624999999999
9,1,7,6,0.9766216216216216
1,0,5,6,0.6638823529411765
3,0,6,3,0.5680327868852459
7,1,7,4,0.7824193548387096
4,0,8,9,0.8270886075949367
9,1,6,6,0.9782142857142856
3,1,6,5,0.7793617021276595
5,1,4,3,0.8140000000000001
3,1,7,3,0.6329508196721312
7,1,9,1,0.81
5,1,6,9,0.8202857142857142
9,1,8,1,0.8948076923076922
7,1,9,3,0.8865671641791044
2,1,9,4,0.7552577319587629
4,0,8,3,0.7047457627118644
9,0,8,2,0.935
2,1,4,1,0.576
9,0,5,3,0.9317647058823529
5,0,7,4,0.7185483870967742
2,1,6,0,0.6128571428571429
4,1,7,0,0.7865753424657534
7,0,9,5,0.7747826086956522
8,1,6,4,0.9128571428571428
3,1,4,3,0.7034210526315791
1,1,7,0,0.39139534883720933
4,0,4,6,0.7323287671232878
2,1,4,3,0.7088888888888888
8,0,7,2,0.8601639344262296
4,1,7,6,0.6075
2,1,6,1,0.7230337078651685
6,0,9,9,0.9166666666666666
6,1,9,0,0.8303225806451613
4,0,8,3,0.8303225806451613
6,0,4,7,0.91
2,1,9,5,0.6050000000000001
2,1,5,8,0.6647142857142857
4,0,6,0,0.7879591836734694
8,0,6,0,0.78375
7,1,8,4,0.8451219512195122
9,1,8,5,1.0002061855670104
8,1,4,7,0.9361956521739131
5,1,6,2,0.75796875
2,1,6,5,0.6342187499999999
5,0,5,2,0.79875
8,0,4,7,0.891
9,0,4,3,0.86625
9,0,9,1,0.958404255319149
1,1,8,8,0.6941379310344827
9,0,9,9,0.9514285714285714
7,1,4,7,0.8763934426229509
9,1,5,5,0.9779268292682928
8,1,4,2,0.8303225806451613
1,1,9,1,0.7312500000000001
8,1,7,3,0.8288372093023255
8,0,7,3,0.8880882352941176
3,1,5,0,0.6416666666666667
1,1,8,8,0.37124999999999997
8,1,6,9,0.9367741935483871
3,0,4,7,0.6456521739130434
3,1,9,6,0.7133823529411765
1,1,8,5,0.5537288135593221
5,1,9,2,0.825
7,0,8,3,0.878625
9,1,4,1,0.9661445783132532
7,0,6,6,0.8844000000000001
9,0,4,1,0.95
8,1,6,9,0.9413114754098361
2,0,9,0,0.5521153846153846
1,0,5,5,0.4519565217391304
7,1,6,3,0.8004255319148936
7,1,8,7,0.8865671641791044
8,1,5,0,0.8957142857142857
5,1,9,8,0.8330487804878048
3,0,7,5,0.6187499999999999
8,0,5,1,0.8817187499999999
6,1,6,7,0.8441052631578948
3,1,5,4,0.6479999999999999
1,1,9,4,0.5051020408163265
3,0,5,4,0.5346
5,1,9,6,0.8627142857142857
3,0,7,6,0.66
1,0,6,9,0.76
5,0,8,6,0.806142857142857
